Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.98     0.00        1     0.00     0.00  add_rr_graph_C_from_switches
  0.00      2.98     0.00        1     0.00     0.00  alloc_and_assign_internal_structures
  0.00      2.98     0.00        1     0.00     0.00  alloc_and_load_clb_opins_used_locally
  0.00      2.98     0.00        1     0.00     0.00  alloc_and_load_fanout_counts
  0.00      2.98     0.00        1     0.00     0.00  alloc_and_load_for_fast_cost_update
  0.00      2.98     0.00        1     0.00     0.00  alloc_and_load_perturb_ipins
  0.00      2.98     0.00        1     0.00     0.00  alloc_and_load_pin_mappings
  0.00      2.98     0.00        1     0.00     0.00  alloc_and_load_placement_structs
  0.00      2.98     0.00        1     0.00     0.00  alloc_and_load_rr_clb_source
  0.00      2.98     0.00        1     0.00     0.36  alloc_and_load_rr_graph
  0.00      2.98     0.00        1     0.00     0.00  alloc_and_load_rr_indexed_data
  0.00      2.98     0.00        1     0.00     0.00  alloc_and_load_rr_node_indices
  0.00      2.98     0.00        1     0.00     0.00  alloc_and_load_rr_node_route_structs
  0.00      2.98     0.00        1     0.00     0.00  alloc_and_load_seg_details
  0.00      2.98     0.00        1     0.00     0.00  alloc_and_load_timing_graph
  0.00      2.98     0.00        1     0.00     0.00  alloc_and_load_timing_graph_levels
  0.00      2.98     0.00        1     0.00     0.00  alloc_and_load_tnode_fanin_and_check_edges
  0.00      2.98     0.00        1     0.00     0.00  alloc_and_load_tnodes_and_net_mapping
  0.00      2.98     0.00        1     0.00     0.00  alloc_and_load_unique_pin_list
  0.00      2.98     0.00        1     0.00     0.00  alloc_block
  0.00      2.98     0.00        1     0.00     0.00  alloc_crit
  0.00      2.98     0.00        1     0.00     0.00  alloc_delta_arrays
  0.00      2.98     0.00        1     0.00     0.41  alloc_lookups_and_criticalities
  0.00      2.98     0.00        1     0.00     0.00  alloc_net
  0.00      2.98     0.00        1     0.00     0.00  alloc_net_delay
  0.00      2.98     0.00        1     0.00     0.00  alloc_net_rr_terminals
  0.00      2.98     0.00        1     0.00     0.00  alloc_net_slack
  0.00      2.98     0.00        1     0.00     0.00  alloc_route_structs
  0.00      2.98     0.00        1     0.00     0.00  alloc_route_tree_timing_structs
  0.00      2.98     0.00        1     0.00     0.38  alloc_routing_structs
  0.00      2.98     0.00        1     0.00     0.00  alloc_timing_driven_route_structs
  0.00      2.98     0.00        1     0.00     0.38  build_rr_graph
  0.00      2.98     0.00        1     0.00     0.00  check_for_duplicate_block_names
  0.00      2.98     0.00        1     0.00     0.00  check_for_multiple_sink_connections
  0.00      2.98     0.00        1     0.00     0.00  check_netlist
  0.00      2.98     0.00        1     0.00     0.00  check_place
  0.00      2.98     0.00        1     0.00     0.00  check_timing_graph
  0.00      2.98     0.00        1     0.00     0.41  compute_delay_lookup_tables
  0.00      2.98     0.00        1     0.00     0.03  compute_delta_arrays
  0.00      2.98     0.00        1     0.00     0.01  compute_delta_fb_to_fb
  0.00      2.98     0.00        1     0.00     0.01  compute_delta_fb_to_io
  0.00      2.98     0.00        1     0.00     0.01  compute_delta_io_to_fb
  0.00      2.98     0.00        1     0.00     0.01  compute_delta_io_to_io
  0.00      2.98     0.00        1     0.00     0.00  compute_net_pin_index_values
  0.00      2.98     0.00        1     0.00     0.00  count_connections
  0.00      2.98     0.00        1     0.00     0.00  ezxml_new
  0.00      2.98     0.00        1     0.00     0.00  ezxml_parse_fd
  0.00      2.98     0.00        1     0.00     0.00  ezxml_parse_file
  0.00      2.98     0.00        1     0.00     0.00  ezxml_parse_str
  0.00      2.98     0.00        1     0.00     0.00  ezxml_str2utf8
  0.00      2.98     0.00        1     0.00     0.00  freeArch
  0.00      2.98     0.00        1     0.00     0.00  free_and_reset_internal_structures
  0.00      2.98     0.00        1     0.00     0.00  free_crit
  0.00      2.98     0.00        1     0.00     0.00  free_fanout_counts
  0.00      2.98     0.00        1     0.00     0.00  free_fast_cost_update_structs
  0.00      2.98     0.00        1     0.00     0.00  free_int_list
  0.00      2.98     0.00        1     0.00     0.00  free_lookups_and_criticalities
  0.00      2.98     0.00        1     0.00     0.00  free_net_delay
  0.00      2.98     0.00        1     0.00     0.00  free_pin_mappings
  0.00      2.98     0.00        1     0.00     0.00  free_placement_structs
  0.00      2.98     0.00        1     0.00     0.00  free_route_structs
  0.00      2.98     0.00        1     0.00     0.00  free_route_tree_timing_structs
  0.00      2.98     0.00        1     0.00     0.00  free_routing_structs
  0.00      2.98     0.00        1     0.00     0.00  free_rr_node_indices
  0.00      2.98     0.00        1     0.00     0.00  free_rr_node_route_structs
  0.00      2.98     0.00        1     0.00     0.00  free_sblock_pattern_lookup
  0.00      2.98     0.00        1     0.00     0.00  free_seg_details
  0.00      2.98     0.00        1     0.00     0.00  free_timing_driven_route_structs
  0.00      2.98     0.00        1     0.00     0.00  free_timing_graph
  0.00      2.98     0.00        1     0.00     0.00  free_trace_structs
  0.00      2.98     0.00        1     0.00     0.00  free_type_pin_to_track_map
  0.00      2.98     0.00        1     0.00     0.00  free_type_track_to_ipin_map
  0.00      2.98     0.00        1     0.00     0.00  free_unique_pin_list
  0.00      2.98     0.00        1     0.00     0.00  get_delay_normalization_fac
  0.00      2.98     0.00        1     0.00     0.00  get_longest_segment_length
  0.00      2.98     0.00        1     0.00     0.00  get_max_pins_per_net
  0.00      2.98     0.00        1     0.00     0.00  get_seg_track_counts
  0.00      2.98     0.00        1     0.00     0.00  init_draw_coords
  0.00      2.98     0.00        1     0.00     0.00  init_route_structs
  0.00      2.98     0.00        1     0.00     0.00  initial_placement
  0.00      2.98     0.00        1     0.00     0.00  load_route_bb
  0.00      2.98     0.00        1     0.00     0.00  load_rr_indexed_data_base_costs
  0.00      2.98     0.00        1     0.00     0.00  load_simplified_device
  0.00      2.98     0.00        1     0.00     0.00  load_subblock_info_to_type
  0.00      2.98     0.00        1     0.00     0.00  my_srandom
